NAMESPACE                   NAME                                                                  READY   STATUS                        RESTARTS          AGE
argocd                      pod/argocd-application-controller-0                                   1/1     Running                       2 (46h ago)       8d
argocd                      pod/argocd-applicationset-controller-5c6f7799bf-zh5cd                 1/1     Running                       3 (46h ago)       8d
argocd                      pod/argocd-notifications-controller-54cb8fd75f-wxsjq                  1/1     Running                       3 (46h ago)       14d
argocd                      pod/argocd-redis-78dfcb5c4c-d9bht                                     1/1     Running                       4 (46h ago)       8d
argocd                      pod/argocd-repo-server-5dc4756b77-p26bk                               1/1     Running                       1 (46h ago)       8d
argocd                      pod/argocd-server-77f7969c77-xhv2v                                    1/1     Running                       10 (46h ago)      9d
auth                        pod/authentik-server-559dcfb6b-c4n98                                  2/2     Running                       0                 6h35m
auth                        pod/authentik-worker-698b999457-tzsll                                 1/1     Running                       0                 6h35m
cert-manager                pod/cert-manager-cainjector-6c4898ccb-5lzm5                           0/1     ContainerStatusUnknown        46 (9d ago)       14d
cert-manager                pod/cert-manager-cainjector-6c4898ccb-c28kx                           0/1     Completed                     1                 9d
cert-manager                pod/cert-manager-cainjector-6c4898ccb-jsvjm                           0/1     ContainerStatusUnknown        1 (9d ago)        9d
cert-manager                pod/cert-manager-cainjector-6c4898ccb-lslgd                           0/1     ContainerStatusUnknown        16 (8d ago)       9d
cert-manager                pod/cert-manager-cainjector-6c4898ccb-n878x                           0/1     Error                         1                 9d
cert-manager                pod/cert-manager-cainjector-6c4898ccb-r64q7                           0/1     Error                         0                 14d
cert-manager                pod/cert-manager-cainjector-6c4898ccb-rp5v5                           0/1     Error                         0                 9d
cert-manager                pod/cert-manager-cainjector-6c4898ccb-xf79k                           1/1     Running                       22 (18h ago)      8d
cert-manager                pod/cert-manager-f6d65cdcc-268bw                                      0/1     ContainerStatusUnknown        9 (9d ago)        9d
cert-manager                pod/cert-manager-f6d65cdcc-2s6h7                                      0/1     ContainerStatusUnknown        19 (9d ago)       13d
cert-manager                pod/cert-manager-f6d65cdcc-2t7mf                                      0/1     ContainerStatusUnknown        2 (8d ago)        8d
cert-manager                pod/cert-manager-f6d65cdcc-4ckv4                                      0/1     Error                         0                 8d
cert-manager                pod/cert-manager-f6d65cdcc-4xmnh                                      0/1     Error                         9                 9d
cert-manager                pod/cert-manager-f6d65cdcc-9fhxk                                      0/1     Completed                     0                 9d
